,du_normal,u_normal,dv_normal,f_star_normal,x,t,du_physics,u_physics,dv_physics,f_star_physics,u_actual,actual_normal,actual_physics,du_dv_normal,du_dv_physics
0,-0.001900906,0.000935204,-0.001192992,-0.000707915,-1,0,-0.054065384,0.021941572,-0.07662396,0.022558577,0,0.000935204,0.021941572,0.000707914,0.022558576
1,0.002186617,0.025250763,-0.07734886,0.07953548,-0.99215686,0,-0.08256977,0.043733224,-0.13942552,0.056855742,0.02,0.005250763,0.023733224,0.079535477,0.05685575
2,0.00643691,0.049585834,-0.15365574,0.16009265,-0.9843137,0,-0.10927411,0.06516145,-0.19853537,0.089261256,0.05,0.000414166,0.01516145,0.16009265,0.08926126
3,0.010850423,0.07392527,-0.22992834,0.24077877,-0.9764706,0,-0.13396825,0.08616035,-0.25330418,0.11933594,0.07,0.00392527,0.01616035,0.240778763,0.11933593
4,0.015426524,0.0982535,-0.3059756,0.3214021,-0.96862745,0,-0.1564922,0.10667418,-0.30323598,0.14674377,0.1,0.0017465,0.00667418,0.321402124,0.14674378
5,0.02016407,0.12255575,-0.38160554,0.4017696,-0.9607843,0,-0.1767418,0.12665145,-0.3479788,0.171237,0.12,0.00255575,0.00665145,0.40176961,0.171237
6,0.025061704,0.1468168,-0.4566212,0.4816829,-0.9529412,0,-0.19466254,0.14605083,-0.38733566,0.19267312,0.15,0.0031832,0.00394917,0.481682904,0.19267312
7,0.030117834,0.17102145,-0.5308238,0.56094164,-0.94509804,0,-0.21024859,0.16483726,-0.42125198,0.21100341,0.17,0.00102145,0.00516274,0.560941634,0.21100339
8,0.035330713,0.19515283,-0.60400873,0.63933945,-0.9372549,0,-0.22353883,0.18298788,-0.44980514,0.22626632,0.2,0.00484717,0.01701212,0.639339443,0.22626631
9,0.040697627,0.2191944,-0.6759714,0.716669,-0.92941177,0,-0.23461355,0.20048179,-0.4731789,0.23856536,0.22,0.0008056,0.01951821,0.716669027,0.23856535
10,0.046215754,0.24313022,-0.74651027,0.79272604,-0.92156863,0,-0.2435799,0.21731015,-0.49165258,0.24807268,0.24,0.00313022,0.02268985,0.792726024,0.24807268
11,0.051881716,0.2669441,-0.81542486,0.8673066,-0.9137255,0,-0.25057563,0.23346908,-0.50557727,0.2550016,0.27,0.0030559,0.03653092,0.867306576,0.25500164
12,0.057692718,0.29061872,-0.8825134,0.9402061,-0.90588236,0,-0.25575626,0.24896325,-0.51535285,0.2595966,0.29,0.00061872,0.04103675,0.940206118,0.25959659
13,0.0636446,0.31413853,-0.9475836,1.0112282,-0.8980392,0,-0.25928882,0.2637974,-0.52141064,0.26212183,0.31,0.00413853,0.0462026,1.0112282,0.26212182
14,0.06973313,0.33748478,-1.0104384,1.0801716,-0.8901961,0,-0.2613493,0.27798742,-0.5241986,0.26284927,0.34,0.00251522,0.06201258,1.08017153,0.2628493
15,0.07595344,0.36064386,-1.0709019,1.1468554,-0.88235295,0,-0.26211363,0.29155105,-0.52415985,0.26204625,0.36,0.00064386,0.06844895,1.14685534,0.26204622
16,0.08230152,0.3835966,-1.1287874,1.2110889,-0.8745098,0,-0.26175645,0.30450708,-0.5217315,0.25997505,0.38,0.0035966,0.07549292,1.21108892,0.25997505
17,0.088772625,0.40632778,-1.183927,1.2726997,-0.8666667,0,-0.26044556,0.31688017,-0.5173262,0.25688058,0.41,0.00367222,0.09311983,1.272699625,0.25688064
18,0.095361196,0.42882073,-1.2361587,1.33152,-0.85882354,0,-0.25833943,0.32869625,-0.5113288,0.25298938,0.43,0.00117927,0.10130375,1.331519896,0.25298937
19,0.10206181,0.45106012,-1.2853312,1.387393,-0.8509804,0,-0.2555894,0.33998156,-0.50409424,0.24850486,0.45,0.00106012,0.11001844,1.38739301,0.24850484
20,0.10886869,0.47302943,-1.3313019,1.4401706,-0.84313726,0,-0.25233155,0.3507641,-0.49594367,0.2436121,0.47,0.00302943,0.1192359,1.44017059,0.24361212
21,0.11577705,0.4947124,-1.3739351,1.4897121,-0.8352941,0,-0.24868897,0.36107326,-0.48716044,0.2384715,0.49,0.0047124,0.12892674,1.48971215,0.23847147
22,0.12278026,0.51609427,-1.4131141,1.5358944,-0.827451,0,-0.24477224,0.37093788,-0.477994,0.23322177,0.52,0.00390573,0.14906212,1.53589436,0.23322176
23,0.12987274,0.5371605,-1.4487317,1.5786043,-0.81960785,0,-0.2406796,0.38038564,-0.46866232,0.22798271,0.54,0.0028395,0.15961436,1.57860444,0.22798272
24,0.13704853,0.557896,-1.4806914,1.6177399,-0.8117647,0,-0.23649147,0.38944554,-0.45934352,0.22285204,0.56,0.002104,0.17055446,1.61773993,0.22285205
25,0.14430149,0.5782861,-1.5089097,1.6532112,-0.8039216,0,-0.23227735,0.3981446,-0.45018962,0.21791227,0.58,0.0017139,0.1818554,1.65321119,0.21791227
26,0.15162581,0.5983171,-1.533316,1.6849419,-0.79607844,0,-0.22809102,0.40650934,-0.44131792,0.21322688,0.6,0.0016829,0.19349066,1.68494181,0.2132269
