,du_normal,u_normal,dv_normal,f_star_normal,x,t,du_physics,u_physics,dv_physics,f_star_physics,u_actual,actual_normal_noise,actual_physics_noise,du_dv_normal_noise,du_dv_physics_noise
0,-0.06547997,0.012660444,0.093836926,-0.1593169,-1,0,-0.09089046,0.020339698,-0.091865316,0.00097486,0,0.012660444,0.020339698,0.159316896,0.000974856
1,-0.07212586,0.02639687,0.06436433,-0.13649018,-0.99215686,0,-0.11203319,0.04274024,-0.15321568,0.04118248,0.02,0.00639687,0.02274024,0.13649019,0.04118249
2,-0.07849373,0.04233867,0.019626163,-0.09811989,-0.9843137,0,-0.13163878,0.06450544,-0.20917031,0.077531524,0.05,0.00766133,0.01450544,0.098119893,0.07753153
3,-0.08441663,0.060430586,-0.041514948,-0.04290168,-0.9764706,0,-0.14971638,0.085637495,-0.2599076,0.11019122,0.07,0.009569414,0.015637495,0.042901682,0.11019122
4,-0.089742586,0.08056611,-0.11920225,0.029459663,-0.96862745,0,-0.16628076,0.10613884,-0.30561492,0.13933414,0.1,0.01943389,0.00613884,0.029459664,0.13933416
5,-0.09434485,0.102583826,-0.21245718,0.11811232,-0.9607843,0,-0.18135634,0.12601416,-0.34649554,0.16513918,0.12,0.017416174,0.00601416,0.11811233,0.1651392
6,-0.09813066,0.12628013,-0.3192236,0.22109297,-0.9529412,0,-0.19497184,0.14526711,-0.38275704,0.1877852,0.15,0.02371987,0.00473289,0.22109294,0.1877852
7,-0.10104606,0.15141541,-0.43651822,0.33547217,-0.94509804,0,-0.2071634,0.16390394,-0.41462058,0.20745718,0.17,0.01858459,0.00609606,0.33547216,0.20745718
8,-0.10307751,0.177728,-0.56071836,0.4576408,-0.9372549,0,-0.2179729,0.18193184,-0.44231284,0.22433993,0.2,0.022272,0.01806816,0.45764085,0.22433994
9,-0.10424876,0.20494545,-0.6878921,0.5836433,-0.92941177,0,-0.22744662,0.19935797,-0.46606547,0.23861887,0.22,0.01505455,0.02064203,0.58364334,0.23861885
10,-0.104616135,0.23279732,-0.81415534,0.7095392,-0.92156863,0,-0.23563635,0.21619056,-0.4861129,0.25047654,0.24,0.00720268,0.02380944,0.709539205,0.25047655
11,-0.10426022,0.26102465,-0.9359741,0.8317139,-0.9137255,0,-0.24259505,0.23243962,-0.5026932,0.26009816,0.27,0.00897535,0.03756038,0.83171388,0.26009815
12,-0.10327839,0.28938842,-1.0503901,0.9471118,-0.90588236,0,-0.2483826,0.24811377,-0.51603967,0.2676571,0.29,0.00061158,0.04188623,0.94711171,0.26765707
